"Index","BVSP.Open","BVSP.High","BVSP.Low","BVSP.Close","BVSP.Volume","BVSP.Adjusted"
"1999-01-04",6787,7052,6787,6942,0,6942
"1999-01-05",6942,7147,6843,7111,0,7111
"1999-01-06",7111,7334,7110,7331,0,7331
"1999-01-07",7161,7161,6841,6954,0,6954
"1999-01-08",6955,7100,6706,6781,0,6781
"1999-01-11",6784,6784,6268,6403,0,6403
"1999-01-12",6408,6408,5792,5916,0,5916
"1999-01-13",5657,5742,5278,5617,0,5617
"1999-01-14",5702,5857,5050,5057,0,5057
"1999-01-15",5039,6782,4797,6747,0,6747
"1999-01-18",6760,7342,6485,7113,0,7113
"1999-01-19",7115,7413,7013,7381,0,7381
"1999-01-20",7418,7721,7293,7674,0,7674
"1999-01-21",7674,7677,7116,7321,0,7321
"1999-01-22",7317,7413,7048,7190,0,7190
"1999-01-25",NA,NA,NA,NA,NA,NA
"1999-01-26",7194,7789,7194,7645,0,7645
"1999-01-27",7647,7848,7553,7687,0,7687
"1999-01-28",7735,7989,7735,7987,0,7987
"1999-01-29",8052,8540,8052,8172,0,8172
"1999-02-01",8187,8891,8160,8891,0,8891
"1999-02-02",8886,8912,8510,8732,0,8732
"1999-02-03",8828,8898,8586,8676,0,8676
"1999-02-04",8682,8715,8416,8653,0,8653
"1999-02-05",8654,8654,8309,8435,0,8435
"1999-02-08",8435,8828,8321,8824,0,8824
"1999-02-09",8841,8975,8656,8674,0,8674
"1999-02-10",8660,8853,8565,8853,0,8853
"1999-02-11",8862,9116,8860,8990,0,8990
"1999-02-12",8991,8996,8839,8952,0,8952
"1999-02-15",NA,NA,NA,NA,NA,NA
"1999-02-16",NA,NA,NA,NA,NA,NA
"1999-02-17",8952,9091,8928,8974,0,8974
"1999-02-18",8976,9023,8830,8861,0,8861
"1999-02-19",8861,9013,8760,9013,0,9013
"1999-02-22",9013,9143,8960,9075,0,9075
"1999-02-23",9075,9267,8931,8943,0,8943
"1999-02-24",8942,9005,8823,8953,0,8953
"1999-02-25",8955,8999,8603,8674,0,8674
"1999-02-26",8675,8911,8670,8911,0,8911
"1999-03-01",8912,9198,8912,9198,0,9198
"1999-03-02",9200,9205,9052,9071,0,9071
"1999-03-03",9071,9360,9008,9155,0,9155
"1999-03-04",9155,9508,9155,9508,0,9508
"1999-03-05",9509,9717,9434,9465,0,9465
"1999-03-08",9465,9786,9461,9786,0,9786
"1999-03-09",9786,9802,9459,9484,0,9484
"1999-03-10",9485,9817,9485,9778,0,9778
"1999-03-11",9781,10080,9686,9698,0,9698
"1999-03-12",9694,9755,9470,9574,0,9574
"1999-03-15",9626,10414,9587,10414,0,10414
"1999-03-16",10414,10731,10346,10658,0,10658
"1999-03-17",10658,10726,10493,10635,0,10635
"1999-03-18",10635,10977,10586,10894,0,10894
"1999-03-19",10897,11101,10787,10836,0,10836
"1999-03-22",10836,10836,10466,10527,0,10527
"1999-03-23",10526,10835,10324,10417,0,10417
"1999-03-24",10416,10588,10350,10429,0,10429
"1999-03-25",10449,10995,10449,10937,0,10937
"1999-03-26",10937,11029,10802,10865,0,10865
"1999-03-29",10866,10966,10751,10869,0,10869
"1999-03-30",10869,11075,10859,11028,0,11028
"1999-03-31",11029,11060,10660,10696,0,10696
"1999-04-01",NA,NA,NA,NA,NA,NA
"1999-04-02",NA,NA,NA,NA,NA,NA
"1999-04-05",10697,11022,10680,11022,0,11022
"1999-04-06",11022,11331,11022,11120,0,11120
"1999-04-07",11165,11530,11165,11530,0,11530
"1999-04-08",11530,11827,11261,11466,0,11466
"1999-04-09",11473,11616,11257,11295,0,11295
"1999-04-12",11208,11459,11007,11432,0,11432
"1999-04-13",11432,11601,11194,11321,0,11321
"1999-04-14",11219,11398,11144,11306,0,11306
"1999-04-15",11306,11369,11141,11246,0,11246
"1999-04-16",11252,11558,11252,11429,0,11429
"1999-04-19",11533,11746,11068,11197,0,11197
"1999-04-20",11194,11194,10735,10989,0,10989
"1999-04-21",NA,NA,NA,NA,NA,NA
"1999-04-22",11004,11304,10966,11084,0,11084
"1999-04-23",11087,11132,10984,11032,0,11032
"1999-04-26",11042,11164,10798,10798,0,10798
"1999-04-27",10808,10969,10676,10885,0,10885
"1999-04-28",10882,11155,10860,11127,0,11127
"1999-04-29",11148,11296,11015,11085,0,11085
"1999-04-30",11065,11464,11065,11351,0,11351
"1999-05-03",11351,11465,11214,11437,0,11437
"1999-05-04",11439,11472,11101,11268,0,11268
"1999-05-05",11267,11588,11222,11578,0,11578
"1999-05-06",11587,11918,11546,11889,0,11889
"1999-05-07",11890,12233,11824,12233,0,12233
"1999-05-10",12234,12530,12119,12412,0,12412
"1999-05-11",12383,12473,12224,12267,0,12267
"1999-05-12",12268,12268,11988,12148,0,12148
"1999-05-13",12148,12589,12148,12459,0,12459
"1999-05-14",12399,12407,12212,12335,0,12335
"1999-05-17",12331,12338,11973,12151,0,12151
"1999-05-18",12152,12354,12101,12268,0,12268
"1999-05-19",12286,12350,12008,12118,0,12118
"1999-05-20",12116,12243,11995,12088,0,12088
"1999-05-21",12088,12092,11646,11728,0,11728
"1999-05-24",11727,11840,11104,11155,0,11155
"1999-05-25",11151,11151,10563,10602,0,10602
"1999-05-26",10610,11245,10610,11245,0,11245
"1999-05-27",11256,11284,10875,10937,0,10937
"1999-05-28",10941,11007,10843,10930,0,10930
"1999-05-31",10932,11106,10794,11090,0,11090
"1999-06-01",11090,11090,10742,11051,0,11051
"1999-06-02",11052,11101,10748,10997,0,10997
"1999-06-03",NA,NA,NA,NA,NA,NA
"1999-06-04",10998,11296,10993,11234,0,11234
"1999-06-07",11234,11308,11045,11047,0,11047
"1999-06-08",11052,11227,10980,11033,0,11033
"1999-06-09",11043,11156,10890,10890,0,10890
"1999-06-10",10858,11128,10800,11089,0,11089
"1999-06-11",11140,11292,11061,11105,0,11105
"1999-06-14",11108,11260,11040,11084,0,11084
"1999-06-15",11084,11240,10666,11183,0,11183
"1999-06-16",11192,11677,11192,11644,0,11644
"1999-06-17",11642,11820,11476,11629,0,11629
"1999-06-18",11629,11903,11548,11877,0,11877
"1999-06-21",11895,12010,11632,12005,0,12005
"1999-06-22",12007,12118,11931,11974,0,11974
"1999-06-23",11976,11976,11752,11792,0,11792
"1999-06-24",11792,11806,11404,11431,0,11431
"1999-06-25",11427,11525,11146,11220,0,11220
"1999-06-28",11222,11382,11201,11264,0,11264
"1999-06-29",11264,11442,11254,11379,0,11379
"1999-06-30",11380,11683,11190,11627,0,11627
"1999-07-01",11634,11815,11596,11708,0,11708
"1999-07-02",11706,11861,11674,11836,0,11836
"1999-07-05",11834,11996,11834,11936,0,11936
"1999-07-06",11930,11937,11642,11674,0,11674
"1999-07-07",11671,11753,11617,11745,0,11745
"1999-07-08",11745,11745,11429,11509,0,11509
"1999-07-09",NA,NA,NA,NA,NA,NA
"1999-07-12",11509,11590,11138,11273,0,11273
"1999-07-13",11268,11312,10860,11303,0,11303
"1999-07-14",11311,11461,11274,11349,0,11349
"1999-07-15",11382,11476,11348,11362,0,11362
"1999-07-16",11356,11413,11247,11407,0,11407
"1999-07-19",11410,11483,11364,11452,0,11452
"1999-07-20",11453,11465,11235,11274,0,11274
"1999-07-21",11274,11362,11215,11303,0,11303
"1999-07-22",11307,11329,11197,11239,0,11239
"1999-07-23",11240,11261,10975,10989,0,10989
"1999-07-26",10989,10990,10645,10675,0,10675
"1999-07-27",10675,10850,10675,10735,0,10735
"1999-07-28",10747,10867,10684,10691,0,10691
"1999-07-29",10712,10721,10345,10568,0,10568
"1999-07-30",10565,10629,10379,10442,0,10442
"1999-08-02",10441,10566,10209,10211,0,10211
"1999-08-03",10210,10326,10111,10265,0,10265
"1999-08-04",10271,10310,10125,10172,0,10172
"1999-08-05",10124,10197,9950,10196,0,10196
"1999-08-06",10197,10265,10001,10039,0,10039
"1999-08-09",10040,10055,9919,9948,0,9948
"1999-08-10",9948,9948,9584,9835,0,9835
"1999-08-11",9836,10150,9836,10137,0,10137
"1999-08-12",10143,10317,10030,10046,0,10046
"1999-08-13",10048,10186,10048,10181,0,10181
"1999-08-16",10181,10202,10070,10119,0,10119
"1999-08-17",10157,10192,9925,9925,0,9925
"1999-08-18",9922,9922,9593,9689,0,9689
"1999-08-19",9688,9920,9579,9818,0,9818
"1999-08-20",9819,10145,9819,10143,0,10143
"1999-08-23",10142,10213,10078,10181,0,10181
"1999-08-24",10181,10361,10126,10314,0,10314
"1999-08-25",10318,10679,10318,10650,0,10650
"1999-08-26",10700,10726,10496,10496,0,10496
"1999-08-27",10497,10627,10475,10545,0,10545
"1999-08-30",10547,10676,10489,10524,0,10524
"1999-08-31",10525,10610,10376,10565,0,10565
"1999-09-01",10583,10902,10583,10902,0,10902
"1999-09-02",10845,11033,10754,10998,0,10998
"1999-09-03",11025,11254,11025,11156,0,11156
"1999-09-06",11158,11190,11113,11185,0,11185
"1999-09-07",NA,NA,NA,NA,NA,NA
"1999-09-08",11185,11185,11003,11090,0,11090
"1999-09-09",11088,11305,11088,11292,0,11292
"1999-09-10",11298,11435,11298,11363,0,11363
"1999-09-13",11363,11505,11313,11478,0,11478
"1999-09-14",11477,11594,11365,11459,0,11459
"1999-09-15",11465,11502,11213,11263,0,11263
"1999-09-16",11264,11288,11048,11094,0,11094
"1999-09-17",11096,11345,11096,11290,0,11290
"1999-09-20",11293,11586,11293,11586,0,11586
"1999-09-21",11588,11594,11400,11449,0,11449
"1999-09-22",11448,11555,11394,11531,0,11531
"1999-09-23",11531,11735,11368,11385,0,11385
"1999-09-24",11382,11533,11289,11533,0,11533
"1999-09-27",11580,11632,11502,11542,0,11542
"1999-09-28",11541,11541,11315,11442,0,11442
"1999-09-29",11443,11553,11401,11434,0,11434
"1999-09-30",11435,11581,11106,11106,0,11106
"1999-10-01",11105,11105,10796,10960,0,10960
"1999-10-04",10979,11080,10961,11055,0,11055
"1999-10-05",11051,11064,10856,10924,0,10924
"1999-10-06",10927,11357,10927,11345,0,11345
"1999-10-07",11349,11469,11103,11338,0,11338
"1999-10-08",11338,11460,11185,11460,0,11460
"1999-10-11",11473,11536,11449,11478,0,11478
"1999-10-12",NA,NA,NA,NA,NA,NA
"1999-10-13",11466,11466,11247,11298,0,11298
"1999-10-14",11301,11383,11301,11330,0,11330
"1999-10-15",11307,11307,11120,11146,0,11146
"1999-10-18",11146,11152,10901,10978,0,10978
"1999-10-19",10982,11216,10982,11098,0,11098
"1999-10-20",11108,11283,11108,11275,0,11275
"1999-10-21",11281,11282,11162,11254,0,11254
"1999-10-22",11259,11498,11259,11461,0,11461
"1999-10-25",11459,11483,11336,11394,0,11394
"1999-10-26",11399,11541,11398,11470,0,11470
"1999-10-27",11470,11540,11452,11531,0,11531
"1999-10-28",11585,11720,11582,11700,0,11700
"1999-10-29",11717,11826,11678,11700,0,11700
"1999-11-01",11701,11767,11685,11763,0,11763
"1999-11-02",NA,NA,NA,NA,NA,NA
"1999-11-03",11763,12347,11763,12347,0,12347
"1999-11-04",12346,12651,12341,12406,0,12406
"1999-11-05",12409,12737,12359,12714,0,12714
"1999-11-08",12700,12968,12519,12960,0,12960
"1999-11-09",12972,13070,12847,12880,0,12880
"1999-11-10",12876,13150,12814,13101,0,13101
"1999-11-11",13101,13281,12985,13189,0,13189
"1999-11-12",13189,13294,13049,13114,0,13114
"1999-11-15",NA,NA,NA,NA,NA,NA
"1999-11-16",13122,13208,13083,13128,0,13128
"1999-11-17",13132,13132,12736,12813,0,12813
"1999-11-18",12813,13123,12726,13087,0,13087
"1999-11-19",13090,13509,13090,13463,0,13463
"1999-11-22",13466,13660,13312,13436,0,13436
"1999-11-23",13445,13694,13351,13565,0,13565
"1999-11-24",13570,13630,13366,13393,0,13393
"1999-11-25",13385,13568,13321,13536,0,13536
"1999-11-26",13538,14007,13538,13888,0,13888
"1999-11-29",13903,14054,13785,13855,0,13855
"1999-11-30",13857,13857,13659,13779,0,13779
"1999-12-01",13784,13875,13556,13874,0,13874
"1999-12-02",13890,14273,13884,14213,0,14213
"1999-12-03",14225,14573,14193,14409,0,14409
"1999-12-06",14415,14543,14306,14344,0,14344
"1999-12-07",14344,14509,14262,14300,0,14300
"1999-12-08",14302,14410,14196,14410,0,14410
"1999-12-09",14420,14738,14420,14584,0,14584
"1999-12-10",14596,14785,14596,14784,0,14784
"1999-12-13",14785,14977,14693,14812,0,14812
"1999-12-14",14821,14893,14587,14644,0,14644
"1999-12-15",14654,14654,14322,14322,0,14322
"1999-12-16",14327,14681,14327,14497,0,14497
"1999-12-17",14524,14793,14524,14789,0,14789
"1999-12-20",14803,15178,14781,15110,0,15110
"1999-12-21",15112,15592,15112,15592,0,15592
"1999-12-22",15606,15916,15401,15916,0,15916
"1999-12-23",15926,16000,15749,15954,0,15954
"1999-12-24",NA,NA,NA,NA,NA,NA
"1999-12-27",15956,16120,15880,16011,0,16011
"1999-12-28",16017,16399,15969,16377,0,16377
"1999-12-29",16391,16812,16363,16773,0,16773
"1999-12-30",16778,17105,16778,17092,0,17092
"1999-12-31",NA,NA,NA,NA,NA,NA
"2000-01-03",17098,17408,16719,16930,0,16930
"2000-01-04",16908,16908,15851,15851,0,15851
"2000-01-05",15871,16302,15350,16245,0,16245
"2000-01-06",16237,16499,15977,16107,0,16107
"2000-01-07",16125,16449,16125,16309,0,16309
"2000-01-10",16325,17057,16325,17022,0,17022
"2000-01-11",17045,17197,16573,16573,0,16573
"2000-01-12",16574,16724,16331,16617,0,16617
"2000-01-13",16663,17715,16663,17298,0,17298
"2000-01-14",17306,17800,17306,17658,0,17658
"2000-01-17",17678,18099,17678,18053,0,18053
"2000-01-18",18062,18062,17625,17903,0,17903
"2000-01-19",17905,18075,17470,17470,0,17470
"2000-01-20",17487,17622,17029,17177,0,17177
"2000-01-21",17188,17372,16901,17034,0,17034
"2000-01-24",17049,17263,16972,16972,0,16972
"2000-01-25",NA,NA,NA,NA,NA,NA
"2000-01-26",16972,17105,16727,17105,0,17105
"2000-01-27",17114,17422,17081,17081,0,17081
"2000-01-28",17150,17252,16547,16734,0,16734
"2000-01-31",16744,16749,16167,16388,0,16388
"2000-02-01",16389,16675,16389,16522,0,16522
"2000-02-02",16546,16875,16546,16868,0,16868
"2000-02-03",16892,17457,16892,17457,0,17457
"2000-02-04",17471,17962,17471,17932,0,17932
"2000-02-07",17937,18126,17746,18126,0,18126
"2000-02-08",18249,18729,18249,18686,0,18686
"2000-02-09",18759,18886,18224,18361,0,18361
"2000-02-10",18367,18672,18155,18604,0,18604
"2000-02-11",18635,18775,18027,18083,0,18083
"2000-02-14",18083,18264,17746,17819,0,17819
"2000-02-15",17818,17932,17451,17921,0,17921
"2000-02-16",17921,18247,17743,18112,0,18112
"2000-02-17",18116,18297,17979,17979,0,17979
"2000-02-18",17979,18008,17489,17625,0,17625
"2000-02-21",17626,17887,17364,17700,0,17700
"2000-02-22",17698,17913,17466,17489,0,17489
"2000-02-23",17489,17855,17479,17833,0,17833
"2000-02-24",17846,18119,17706,17776,0,17776
"2000-02-25",17784,17988,17758,17787,0,17787
"2000-02-28",17787,17787,17383,17543,0,17543
"2000-02-29",17545,17818,17545,17660,0,17660
"2000-03-01",17668,17953,17655,17953,0,17953
"2000-03-02",17966,18154,17809,18016,0,18016
"2000-03-03",18016,18632,18016,18632,0,18632
"2000-03-06",NA,NA,NA,NA,NA,NA
"2000-03-07",NA,NA,NA,NA,NA,NA
"2000-03-08",18617,18617,18184,18283,0,18283
"2000-03-09",18285,18650,18285,18650,0,18650
"2000-03-10",18650,18720,18233,18280,0,18280
"2000-03-13",18279,18279,17506,17595,0,17595
"2000-03-14",17595,17941,17222,17222,0,17222
"2000-03-15",17229,17469,16922,17382,0,17382
"2000-03-16",17397,17661,17397,17642,0,17642
"2000-03-17",17654,17733,17470,17511,0,17511
"2000-03-20",17511,17733,17435,17526,0,17526
"2000-03-21",17528,18343,17510,18343,0,18343
"2000-03-22",18346,18860,18314,18314,0,18314
"2000-03-23",18314,18644,18183,18331,0,18331
"2000-03-24",18332,18692,18332,18675,0,18675
"2000-03-27",18675,19047,18533,18951,0,18951
"2000-03-28",18952,18960,18335,18338,0,18338
"2000-03-29",18339,18575,17973,18053,0,18053
"2000-03-30",18053,18053,17455,17647,0,17647
"2000-03-31",17660,17950,17560,17820,0,17820
"2000-04-03",17826,17826,17173,17245,0,17245
"2000-04-04",17253,17450,16095,16758,0,16758
"2000-04-05",16762,17043,16230,16714,0,16714
"2000-04-06",16719,17152,16719,17146,0,17146
"2000-04-07",17150,17514,17150,17514,0,17514
"2000-04-10",17519,17572,16782,16783,0,16783
"2000-04-11",16787,16867,16309,16539,0,16539
"2000-04-12",16542,16785,16311,16323,0,16323
"2000-04-13",16325,16605,15501,15501,0,15501
"2000-04-14",15501,15501,14596,14794,0,14794
"2000-04-17",14761,14821,14029,14816,0,14816
"2000-04-18",14817,15469,14767,15408,0,15408
"2000-04-19",15438,15536,14850,14926,0,14926
"2000-04-20",14938,15204,14938,15203,0,15203
"2000-04-21",NA,NA,NA,NA,NA,NA
"2000-04-24",15204,15225,14625,14794,0,14794
"2000-04-25",14798,15403,14798,15401,0,15401
"2000-04-26",15401,15517,15268,15446,0,15446
"2000-04-27",15446,15487,14835,15440,0,15440
"2000-04-28",15450,15907,15450,15538,0,15538
"2000-05-01",NA,NA,NA,NA,NA,NA
"2000-05-02",15596,15944,15523,15524,0,15524
"2000-05-03",15525,15525,14980,15109,0,15109
