"Index","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted"
"1999-01-04",393.963989,395.606995,391.244995,394.007996,613600,393.996307
"1999-01-05",394.498993,408.703003,393.026001,408.703003,1981400,408.690857
"1999-01-06",411.79599,427.079987,411.79599,427.079987,3815400,427.067291
"1999-01-07",433.536011,462.121002,433.536011,457.940002,5410600,457.926422
"1999-01-08",458.605011,458.605011,437.789001,439.493988,2595500,439.480957
"1999-01-11",441.552002,443.756012,435.197998,437.29599,1610600,437.28302
"1999-01-12",438.044006,442.700012,433.033997,436.190002,2008000,436.177032
"1999-01-13",436.098999,436.098999,414.927002,419.104004,2300000,419.091583
"1999-01-14",418.891998,418.891998,399.868011,408.553986,2366900,408.54187
"1999-01-15",406.936005,406.936005,398.484985,402.402008,1227200,402.390076
"1999-01-18",NA,NA,NA,NA,NA,NA
"1999-01-19",NA,NA,NA,NA,NA,NA
"1999-01-20",NA,NA,NA,NA,NA,NA
"1999-01-21",NA,NA,NA,NA,NA,NA
"1999-01-22",NA,NA,NA,NA,NA,NA
"1999-01-25",402.402008,403.537994,376.303009,382.477997,1566300,382.466644
"1999-01-26",383.773987,398.152008,383.773987,398.152008,1503300,398.140167
"1999-01-27",400.230011,410.25,400.230011,410.25,2203400,410.237823
"1999-01-28",409.967987,410.829987,405.817993,407.270996,1938600,407.258911
"1999-01-29",407.584015,415.411011,407.584015,411.932007,2284300,411.9198
"1999-02-01",412.209015,417.764008,407.677002,409.112,1547800,409.099854
"1999-02-02",408.915009,409.201996,402.55899,405.164001,1507300,405.151947
"1999-02-03",405.428009,410.556,401.963989,410.556,2174100,410.543793
"1999-02-04",410.556,414.588013,405.712006,409.022003,1856600,409.009857
"1999-02-05",409.022003,409.904999,405.553009,405.553009,1504000,405.540955
"1999-02-08",405.890015,407.449005,395.649994,399.690002,1428500,399.678131
"1999-02-09",400.5,402.825989,397.872986,402.825989,2163800,402.814026
"1999-02-10",403.612,403.612,397.457001,398.681,1185900,398.669159
"1999-02-11",401.127991,406.470001,400.023987,402.64801,1297700,402.636078
"1999-02-12",402.64801,406.640991,395.946014,400.552002,1472700,400.5401
"1999-02-15",400.552002,400.703003,394.428009,396.924011,640700,396.912231
"1999-02-16",396.924011,398.878998,396.431,398.847992,368600,398.836151
"1999-02-17",398.847992,400.071991,397.061005,397.975006,855800,397.963196
"1999-02-18",397.975006,403.414001,397.018005,403.414001,773300,403.402008
"1999-02-19",403.654999,407.963013,402.954987,404.018005,1298900,404.006012
"1999-02-22",404.309998,404.997009,397.697998,398.670013,395500,398.658173
"1999-02-23",400.216003,402.527008,394.790985,397.934998,1052900,397.923187
"1999-02-24",397.894012,402.533997,397.300995,401.997986,871200,401.986053
"1999-02-25",401.997986,401.997986,395.764008,397.803009,857100,397.791199
"1999-02-26",398.087006,398.087006,393.208008,396.088989,1215100,396.077209
"1999-03-01",396.048004,396.949005,394.286987,396.325012,1577600,396.313232
"1999-03-02",396.772003,397.751007,394.127991,394.966003,1191700,394.954285
"1999-03-03",395.345001,399.303009,393.057007,395.807007,1123700,395.795258
"1999-03-04",396.424011,396.625,392.968994,394.153992,809700,394.142273
"1999-03-05",394.971008,395.325012,386.417999,388.678986,898200,388.66745
"1999-03-08",388.910004,391.515991,382.036987,384.567993,1071400,384.55658
"1999-03-09",384.832001,385.257996,377.997009,379.42099,1013500,379.409729
"1999-03-10",379.619995,379.869995,370.643005,373.802002,758000,373.790924
"1999-03-11",374.06601,378.644012,371.798004,378.644012,720600,378.632782
"1999-03-12",378.390015,379.063995,374.230011,375.937012,1147800,375.925842
"1999-03-15",374.260986,377.437988,371.102997,372.317993,1061600,372.306915
"1999-03-16",374.286011,379.453003,372.278015,379.453003,1450200,379.441711
"1999-03-17",379.223999,387.881012,379.223999,387.881012,1064400,387.869507
"1999-03-18",NA,NA,NA,NA,NA,NA
"1999-03-19",390.309998,394.21701,390.309998,394.21701,1729700,394.205292
"1999-03-22",394.25,394.25,390.346985,392.28299,2577500,392.271332
"1999-03-23",392.039001,394.80899,389.102997,394.80899,1135100,394.797272
"1999-03-24",394.643005,394.643005,389.072998,391.345001,1695500,391.333374
"1999-03-25",391.098999,395.82901,389.854004,395.82901,1939200,395.817261
"1999-03-26",396.027008,398.425995,391.678009,392.947998,1063000,392.93634
"1999-03-29",392.931,392.931,389.863007,392.862,1218100,392.850342
"1999-03-30",393.315002,394.980988,392.225006,393.625,1490200,393.613312
"1999-03-31",NA,NA,NA,NA,NA,NA
"1999-04-01",393.625,397.016998,392.033997,394.433014,1660000,394.421295
"1999-04-02",NA,NA,NA,NA,NA,NA
"1999-04-05",394.434998,406.497986,393.638,395.337006,1879700,395.325287
"1999-04-06",395.364014,395.606995,393.975006,395.513,1280100,395.501282
"1999-04-07",395.513,398.190002,395.255005,395.911011,1467800,395.899231
"1999-04-08",395.954987,400.002014,395.954987,400.002014,2027900,399.990143
"1999-04-09",400.002014,421.213013,400.002014,421.213013,2214600,421.200531
"1999-04-12",421.213013,428.792999,421.149994,421.149994,3257300,421.137512
"1999-04-13",421.149994,435.566986,421.149994,432.518005,2869700,432.505157
"1999-04-14",432.804993,435.859985,427.329987,435.556,3166100,435.543091
"1999-04-15",435.644012,448.130005,434.123993,447.479004,5176600,447.465698
"1999-04-16",447.467987,486.98999,447.467987,479.532013,10053500,479.517792
"1999-04-19",480.957001,528.546997,480.957001,508.147003,9810100,508.131927
"1999-04-20",507.989014,507.989014,477.920013,485.970001,4480700,485.955566
"1999-04-21",485.970001,494.832001,477.988007,480.625,4403600,480.610718
"1999-04-22",480.734009,488.937012,477.040985,479.242004,7455800,479.227783
"1999-04-23",480.28299,483.981995,473.212006,473.587006,9866600,473.572937
"1999-04-26",473.587006,476.78299,468.931,470.406006,3874300,470.392059
"1999-04-27",470.631989,470.714996,466.786987,469.204987,2304400,469.19104
"1999-04-28",469.670013,483.872009,469.670013,481.343994,4173000,481.329712
"1999-04-29",482.062012,495.316986,481.419006,490.98999,4626500,490.975403
"1999-04-30",490.98999,505.619995,490.98999,495.221985,7358400,495.207275
"1999-05-03",495.191986,523.357971,495.191986,523.357971,8643800,523.342468
"1999-05-04",531.112976,559.564026,531.112976,548.241028,20547200,548.224731
"1999-05-05",548.174011,565.619019,544.432007,563.840027,28271900,563.823303
