,BSESN,BVSP,FTSE,GDAXI,GSPC,HSCE,IBEX,JKSE,MXX,N225,TWII,VIX,VLIC
BSESN,-,"[0, 0, 0, 1]","[0, 1, 1, 1]","[0, 0, 1, 1]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 1, 0, 1]","[0, 0, 1, 1]","[1, 0, 1, 1]","[0, 0, 0, 1]"
BVSP,"[1, 1, 1, 1]",-,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 1, 1, 1]","[1, 1, 1, 1]","[0, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 1, 1]","[1, 1, 1, 1]"
FTSE,"[0, 0, 0, 0]","[0, 0, 0, 0]",-,"[1, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 0, 1]","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0]","[1, 0, 0, 1]"
GDAXI,"[0, 0, 0, 1]","[0, 0, 0, 1]","[1, 1, 1, 1]",-,"[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0]"
GSPC,"[0, 0, 0, 0]","[1, 0, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",-,"[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 0, 1, 1]","[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]"
HSCE,"[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 1, 0]","[0, 1, 1, 1]","[0, 0, 1, 1]",-,"[0, 0, 1, 1]","[0, 1, 1, 1]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 1, 1]"
IBEX,"[0, 0, 0, 0]","[0, 0, 0, 1]","[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 1]","[0, 0, 0, 0]",-,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0]"
JKSE,"[0, 0, 1, 1]","[0, 0, 1, 1]","[0, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",-,"[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 0]","[0, 0, 1, 1]","[1, 1, 1, 1]"
MXX,"[0, 1, 1, 1]","[0, 0, 1, 1]","[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0]",-,"[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 1, 1, 1]","[0, 0, 0, 0]"
N225,"[0, 0, 0, 0]","[1, 0, 1, 1]","[1, 1, 1, 1]","[1, 1, 0, 1]","[0, 0, 0, 0]","[0, 1, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]",-,"[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0]"
TWII,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 1]","[0, 0, 0, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]",-,"[1, 1, 1, 1]","[0, 0, 1, 1]"
VIX,"[0, 0, 1, 0]","[0, 0, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 1, 1]","[1, 1, 1, 1]","[0, 1, 1, 1]","[1, 1, 1, 1]",-,"[1, 1, 1, 1]"
VLIC,"[0, 0, 0, 1]","[1, 0, 0, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 1, 1]","[0, 0, 0, 0]",-
