,BSESN,BVSP,FTSE,GDAXI,GSPC,HSCE,IBEX,JKSE,MXX,N225,TWII,VIX,VLIC
BSESN,,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 0]","[1, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]"
BVSP,"[0, 0, 0, 0]",,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 0, 0]","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]"
FTSE,"[0, 0, 0, 0]","[0, 0, 0, 0]",,"[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
GDAXI,"[1, 1, 1, 1]","[1, 0, 0, 0]","[1, 0, 0, 0]",,"[0, 0, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 0]"
GSPC,"[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",,"[1, 1, 1, 1]","[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
HSCE,"[0, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0]"
IBEX,"[0, 0, 0, 0]","[1, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 1, 1, 0]","[1, 1, 1, 0]",,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]"
JKSE,"[1, 1, 0, 1]","[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 1]","[0, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",,"[1, 0, 1, 1]","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 1]","[0, 1, 1, 1]"
MXX,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 1, 1, 1]","[1, 0, 0, 0]","[0, 0, 0, 0]",,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
N225,"[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 0, 0]","[0, 0, 0, 0]",,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]"
TWII,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",,"[1, 1, 1, 1]","[1, 1, 1, 1]"
VIX,"[1, 0, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",,"[0, 1, 0, 0]"
VLIC,"[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",
